datetime,low,high,open,close,volumefrom,volumeto,cryptocurrency,image_url,coin_name
12/6/2019,45.23,46.46,44.88,45.37,1495603.06,67861726.17,LTC,https://www.cryptocompare.com/media/35309662/ltc.png,Litecoin
12/7/2019,44.92,46.19,45.37,45.41,1290473.44,58603365.68,LTC,https://www.cryptocompare.com/media/35309662/ltc.png,Litecoin
12/8/2019,45.29,46.2,45.41,45.74,1044011.82,47756608.42,LTC,https://www.cryptocompare.com/media/35309662/ltc.png,Litecoin
12/9/2019,43.96,44.9,45.74,44.46,1502620.55,66801325.25,LTC,https://www.cryptocompare.com/media/35309662/ltc.png,Litecoin
12/10/2019,43.44,44.26,44.46,44.14,1271163.68,56110298.31,LTC,https://www.cryptocompare.com/media/35309662/ltc.png,Litecoin
12/11/2019,43.41,44.48,44.14,43.86,1023796,44907219.35,LTC,https://www.cryptocompare.com/media/35309662/ltc.png,Litecoin
12/12/2019,43.28,44.11,43.86,43.63,1295678.07,56528235.95,LTC,https://www.cryptocompare.com/media/35309662/ltc.png,Litecoin
12/13/2019,43.69,44.74,43.63,44.62,686194.78,30620254.53,LTC,https://www.cryptocompare.com/media/35309662/ltc.png,Litecoin
12/14/2019,43.1,43.93,44.62,43.41,649378.65,28189045.35,LTC,https://www.cryptocompare.com/media/35309662/ltc.png,Litecoin
12/15/2019,43.35,44.13,43.41,43.47,508901.01,22122902.49,LTC,https://www.cryptocompare.com/media/35309662/ltc.png,Litecoin
12/16/2019,39.19,42.5,43.47,39.98,1337594.45,53482138.41,LTC,https://www.cryptocompare.com/media/35309662/ltc.png,Litecoin
12/17/2019,36.74,38.9,39.98,36.94,1818378.18,67174019.91,LTC,https://www.cryptocompare.com/media/35309662/ltc.png,Litecoin
12/18/2019,40.38,42.68,36.94,40.91,1658260.26,67835653.43,LTC,https://www.cryptocompare.com/media/35309662/ltc.png,Litecoin
12/19/2019,39.37,40.87,40.91,39.83,1072949.7,42740009.94,LTC,https://www.cryptocompare.com/media/35309662/ltc.png,Litecoin
12/20/2019,39.86,40.72,39.83,40.22,929511.74,37388532.85,LTC,https://www.cryptocompare.com/media/35309662/ltc.png,Litecoin
12/21/2019,39.66,40.19,40.22,39.79,659753.13,26253117.08,LTC,https://www.cryptocompare.com/media/35309662/ltc.png,Litecoin
12/22/2019,41.75,43.29,39.79,41.95,1218658.64,51120410.11,LTC,https://www.cryptocompare.com/media/35309662/ltc.png,Litecoin
12/23/2019,40.27,41.32,41.95,40.57,1316012.71,53396835.12,LTC,https://www.cryptocompare.com/media/35309662/ltc.png,Litecoin
12/24/2019,39.85,41.01,40.57,40.37,1161526.14,46891576.41,LTC,https://www.cryptocompare.com/media/35309662/ltc.png,Litecoin
12/25/2019,39.54,40.49,40.37,40.11,982201.77,39398026.01,LTC,https://www.cryptocompare.com/media/35309662/ltc.png,Litecoin
12/26/2019,39.68,40.67,40.11,40.06,1160442.39,46484751,LTC,https://www.cryptocompare.com/media/35309662/ltc.png,Litecoin
12/27/2019,40.15,41.43,40.06,40.97,1425474.06,58401066.92,LTC,https://www.cryptocompare.com/media/35309662/ltc.png,Litecoin
12/28/2019,41.29,43.69,40.97,43,1622032.02,69743295.36,LTC,https://www.cryptocompare.com/media/35309662/ltc.png,Litecoin
12/29/2019,42.66,43.78,43,43.15,1642578.93,70871410.56,LTC,https://www.cryptocompare.com/media/35309662/ltc.png,Litecoin
12/30/2019,41.86,43.36,43.15,42.32,1471465.39,62274584.24,LTC,https://www.cryptocompare.com/media/35309662/ltc.png,Litecoin
12/31/2019,41.13,42.51,42.32,41.23,1339384.47,55220527.76,LTC,https://www.cryptocompare.com/media/35309662/ltc.png,Litecoin
1/1/2020,41.16,41.86,41.23,41.59,865174.51,35979677.49,LTC,https://www.cryptocompare.com/media/35309662/ltc.png,Litecoin
1/2/2020,39.33,40.62,41.59,39.45,1093235.02,43124702.29,LTC,https://www.cryptocompare.com/media/35309662/ltc.png,Litecoin
1/3/2020,41.05,42.36,39.45,42.36,1569007.78,66459103.79,LTC,https://www.cryptocompare.com/media/35309662/ltc.png,Litecoin
1/4/2020,41.98,43.05,42.36,42.82,1542557.53,66053316.1,LTC,https://www.cryptocompare.com/media/35309662/ltc.png,Litecoin
1/5/2020,42.33,43.81,42.82,43.32,1509666.7,65399855.29,LTC,https://www.cryptocompare.com/media/35309662/ltc.png,Litecoin
